section,dataset,key,method,id,recall,latency_ms,use,dr,dlat_ms,scale,interpolation,params
cp,arxiv,MIXED,curator,0,0.578,0.17987544000000003,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 32}"
cp,arxiv,MIXED,curator,1,0.623,0.21625009,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 64}"
cp,arxiv,MIXED,curator,2,0.668,0.24593238999999997,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 128}"
cp,arxiv,MIXED,curator,3,0.738,0.3375797,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 256}"
cp,arxiv,MIXED,curator,4,0.791,0.46120663000000006,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 512}"
cp,arxiv,MIXED,curator,5,0.831,0.8411686800000002,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 1024}"
cp,arxiv,MIXED,curator,6,0.86,1.35842357,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 2048}"
cp,arxiv,MIXED,curator,7,0.88,2.7439195999999986,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 4096}"
cp,arxiv,MIXED,curator,8,0.8959999999999999,7.6441126,0,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 8192}"
cp,arxiv,MIXED,curator,9,0.898,113.52449999999999,0,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 65536}"
cp,arxiv,MIXED,curator,10,0.898,115.18503100000002,0,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 32768}"
cp,arxiv,MIXED,curator,11,0.9000000000000001,6.859798999999996,1,0.0,0.0,1.0,linear,"{""pq_M"": 48, ""search_ef"": 16384}"
cp,arxiv,MIXED,diskivf,0,0.5,31.629156899999998,1,0.0,0.0,1.0,linear,"{""nprobe"": 12}"
cp,arxiv,MIXED,diskivf,1,0.5589999999999999,35.23427900000001,0,0.0,0.0,1.0,linear,"{""nprobe"": 16}"
cp,arxiv,MIXED,diskivf,2,0.598,31.964200999999992,1,0.0,0.0,1.0,linear,"{""nprobe"": 20}"
cp,arxiv,MIXED,diskivf,3,0.626,34.824472,1,0.0,0.0,1.0,linear,"{""nprobe"": 24}"
cp,arxiv,MIXED,diskivf,4,0.669,52.205341,0,0.0,0.0,1.0,linear,"{""nprobe"": 32}"
cp,arxiv,MIXED,diskivf,5,0.731,74.33813099999999,1,0.0,0.0,1.0,linear,"{""nprobe"": 48}"
cp,arxiv,MIXED,diskivf,6,0.766,104.22052,1,0.0,0.0,1.0,linear,"{""nprobe"": 64}"
cp,arxiv,MIXED,diskivf,7,0.82,141.13491399999998,0,0.0,0.0,1.0,linear,"{""nprobe"": 96}"
cp,arxiv,MIXED,diskivf,8,0.86,184.05589500000005,1,0.0,0.0,1.0,linear,"{""nprobe"": 128}"
cp,arxiv,MIXED,diskivf,9,0.885,251.74199000000002,0,0.0,0.0,1.0,linear,"{""nprobe"": 160}"
cp,arxiv,MIXED,diskivf,10,0.905,307.83546,0,0.0,0.0,1.0,linear,"{""nprobe"": 192}"
cp,arxiv,MIXED,diskivf,11,0.931,395.43393,1,0.0,0.0,1.0,linear,"{""nprobe"": 256}"
cp,arxiv,MIXED,diskivf,12,0.961,598.87852,0,0.0,0.0,1.0,linear,"{""nprobe"": 384}"
cp,arxiv,MIXED,diskivf,13,0.9750000000000001,807.4096700000001,1,0.0,0.0,1.0,linear,"{""nprobe"": 512}"
cp,arxiv,MIXED,diskivf,14,0.9910000000000001,1372.24128,0,0.0,0.0,1.0,linear,"{""nprobe"": 768}"
cp,arxiv,MIXED,diskivf,15,1.0,2018.5241750000002,1,0.0,0.0,1.0,linear,"{""nprobe"": 1265}"
cp,arxiv,MIXED,prefilter,0,1.0,378.6195199999999,1,0.0,0.0,1.0,linear,{}
cp,arxiv,MIXED,spann,0,0.583,44.765265,1,0.0,0.0,1.0,linear,"{""max_check"": 32768, ""overfetch_factor"": 1000, ""search_internal_result_num"": 500}"
cp,arxiv,MIXED,spann,1,0.645,63.698107,1,0.0,0.0,1.0,linear,"{""max_check"": 32768, ""overfetch_factor"": 1000, ""search_internal_result_num"": 1000}"
cp,arxiv,MIXED,spann,2,0.682,97.391157,1,0.0,0.0,1.0,linear,"{""max_check"": 32768, ""overfetch_factor"": 2000, ""search_internal_result_num"": 1000}"
cp,arxiv,MIXED,spann,3,0.736,127.76940500000002,1,0.0,0.0,1.0,linear,"{""max_check"": 32768, ""overfetch_factor"": 2000, ""search_internal_result_num"": 2000}"
cp,arxiv,MIXED,spann,4,0.785,176.04215,1,0.0,0.0,1.0,linear,"{""max_check"": 32768, ""overfetch_factor"": 5000, ""search_internal_result_num"": 2000}"
cp,arxiv,MIXED,spann,5,0.847,297.31475,1,0.0,0.0,1.0,linear,"{""max_check"": 32768, ""overfetch_factor"": 5000, ""search_internal_result_num"": 5000}"
cp,arxiv,MIXED,spann,6,0.8759999999999999,431.11207,1,0.0,0.0,1.0,linear,"{""max_check"": 65536, ""overfetch_factor"": 10000, ""search_internal_result_num"": 5000}"
cp,arxiv,MIXED,spann,7,0.8759999999999999,600.0121600000001,0,0.0,0.0,1.0,linear,"{""max_check"": 65536, ""overfetch_factor"": 20000, ""search_internal_result_num"": 5000}"
cp,sift1m,OR,curator,0,0.642,0.22367983000000002,1,0.0,0.0,1.0,linear,"{""pq_M"": 32, ""search_ef"": 16}"
cp,sift1m,OR,curator,1,0.723,0.22712990000000002,1,0.0,0.0,1.0,linear,"{""pq_M"": 32, ""search_ef"": 32}"
cp,sift1m,OR,curator,2,0.8,0.26536409,1,0.0,0.0,1.0,linear,"{""pq_M"": 32, ""search_ef"": 64}"
cp,sift1m,OR,curator,3,0.867,0.28848562000000005,1,0.0,0.0,1.0,linear,"{""pq_M"": 32, ""search_ef"": 128}"
